k,model,class,precision,recall,f1_score,support
2,random_forest,Ponderosa Pine,0.34119278779472956,0.3075,0.3234714003944773,800.0
2,random_forest,Cottonwood/Willow,0.5725108225108225,0.66125,0.6136890951276102,800.0
2,random_forest,Aspen,0.5831556503198294,0.68375,0.6294591484464902,800.0
2,random_forest,Douglas-fir,0.38145695364238413,0.36,0.37041800643086814,800.0
2,random_forest,Krummholz,0.7777777777777778,0.805,0.7911547911547911,800.0
2,gradient_boosting,Spruce/Fir,0.5452322738386308,0.5575,0.5512978986402967,800.0
2,gradient_boosting,Lodgepole Pine,0.46601941747572817,0.24,0.31683168316831684,800.0
2,gradient_boosting,Ponderosa Pine,0.3996569468267582,0.29125,0.33694866232827186,800.0
2,gradient_boosting,Cottonwood/Willow,0.5677626303127506,0.885,0.6917440156326331,800.0
2,gradient_boosting,Aspen,0.6018518518518519,0.8125,0.6914893617021277,800.0
2,gradient_boosting,Douglas-fir,0.48408710217755446,0.36125,0.41374373657838226,800.0
2,gradient_boosting,Krummholz,0.7694090382387022,0.83,0.7985568250150331,800.0
2,xgboost,Spruce/Fir,0.5545454545454546,0.53375,0.5439490445859873,800.0
2,xgboost,Lodgepole Pine,0.48394004282655245,0.2825,0.35674822415153906,800.0
2,xgboost,Ponderosa Pine,0.3752310536044362,0.25375,0.30275913497390006,800.0
2,xgboost,Cottonwood/Willow,0.5596477181745396,0.87375,0.6822840409956076,800.0
2,xgboost,Aspen,0.5909090909090909,0.82875,0.6899063475546305,800.0
2,xgboost,Douglas-fir,0.48408710217755446,0.36125,0.41374373657838226,800.0
2,xgboost,Krummholz,0.7798594847775175,0.8325,0.8053204353083434,800.0
3,naive_bayes,Spruce/Fir,0.5172735760971056,0.6925,0.5921966862640299,800.0
3,naive_bayes,Lodgepole Pine,0.0,0.0,0.0,800.0
3,naive_bayes,Ponderosa Pine,0.625,0.00625,0.012376237623762377,800.0
3,naive_bayes,Cottonwood/Willow,0.46403712296983757,1.0,0.6339144215530903,800.0
3,naive_bayes,Aspen,0.408,0.95625,0.5719626168224299,800.0
3,naive_bayes,Douglas-fir,0.0,0.0,0.0,800.0
3,naive_bayes,Krummholz,0.7819956616052061,0.90125,0.8373983739837398,800.0
3,knn,Spruce/Fir,0.5551515151515152,0.5725,0.5636923076923077,800.0
3,knn,Lodgepole Pine,0.475,0.40375,0.43648648648648647,800.0
3,knn,Ponderosa Pine,0.4229828850855746,0.4325,0.4276885043263288,800.0
3,knn,Cottonwood/Willow,0.6429341963322546,0.745,0.6902142443543717,800.0
3,knn,Aspen,0.7263626251390434,0.81625,0.7686874632136551,800.0
3,knn,Douglas-fir,0.5206611570247934,0.39375,0.4483985765124555,800.0
3,knn,Krummholz,0.8144208037825059,0.86125,0.8371810449574727,800.0
3,decision_tree,Spruce/Fir,0.48789346246973364,0.50375,0.4956949569495695,800.0
3,decision_tree,Lodgepole Pine,0.4272959183673469,0.41875,0.42297979797979796,800.0
3,decision_tree,Ponderosa Pine,0.3868974042027194,0.39125,0.38906152889993784,800.0
3,decision_tree,Cottonwood/Willow,0.6404066073697586,0.63,0.6351606805293005,800.0
3,decision_tree,Aspen,0.7110834371108343,0.71375,0.7124142233312539,800.0
3,decision_tree,Douglas-fir,0.40328697850821743,0.39875,0.4010056568196103,800.0
3,decision_tree,Krummholz,0.7925,0.7925,0.7925,800.0
3,random_forest,Spruce/Fir,0.5474358974358975,0.53375,0.540506329113924,800.0
3,random_forest,Lodgepole Pine,0.4872159090909091,0.42875,0.45611702127659576,800.0
3,random_forest,Ponderosa Pine,0.4230769230769231,0.385,0.4031413612565445,800.0
3,random_forest,Cottonwood/Willow,0.6530612244897959,0.76,0.7024841132293472,800.0
3,random_forest,Aspen,0.7149270482603816,0.79625,0.7534003548196333,800.0
3,random_forest,Douglas-fir,0.4534246575342466,0.41375,0.4326797385620915,800.0
3,random_forest,Krummholz,0.7930622009569378,0.82875,0.8105134474327629,800.0
3,gradient_boosting,Spruce/Fir,0.5788146279949559,0.57375,0.576271186440678,800.0
3,gradient_boosting,Lodgepole Pine,0.5432595573440644,0.3375,0.4163454124903624,800.0
3,gradient_boosting,Ponderosa Pine,0.4449213161659514,0.38875,0.4149432955303536,800.0
3,gradient_boosting,Cottonwood/Willow,0.6324472960586618,0.8625,0.7297726070861977,800.0
3,gradient_boosting,Aspen,0.6606425702811245,0.8225,0.732739420935412,800.0
3,gradient_boosting,Douglas-fir,0.5154320987654321,0.4175,0.4613259668508287,800.0
3,gradient_boosting,Krummholz,0.7990867579908676,0.875,0.8353221957040573,800.0
3,xgboost,Spruce/Fir,0.5650510204081632,0.55375,0.5593434343434344,800.0
3,xgboost,Lodgepole Pine,0.521669341894061,0.40625,0.4567814476458187,800.0
3,xgboost,Ponderosa Pine,0.44285714285714284,0.3875,0.41333333333333333,800.0
3,xgboost,Cottonwood/Willow,0.639511201629328,0.785,0.7048260381593715,800.0
3,xgboost,Aspen,0.706951871657754,0.82625,0.7619596541786744,800.0
3,xgboost,Douglas-fir,0.5,0.4475,0.47229551451187335,800.0
3,xgboost,Krummholz,0.7906976744186046,0.85,0.8192771084337349,800.0
5,naive_bayes,Spruce/Fir,0.2071611253196931,0.10125,0.13602015113350127,800.0
5,naive_bayes,Lodgepole Pine,0.0,0.0,0.0,800.0
5,naive_bayes,Ponderosa Pine,0.7878787878787878,0.0325,0.062424969987995196,800.0
5,naive_bayes,Cottonwood/Willow,0.46647230320699706,1.0,0.6361829025844931,800.0
5,naive_bayes,Aspen,0.42279163857046526,0.78375,0.5492772667542707,800.0
5,naive_bayes,Douglas-fir,0.7017543859649122,0.05,0.09334889148191365,800.0
5,naive_bayes,Krummholz,0.41332639250390424,0.9925,0.583608967291437,800.0
5,knn,Spruce/Fir,0.5546116504854369,0.57125,0.562807881773399,800.0
5,knn,Lodgepole Pine,0.5045180722891566,0.41875,0.4576502732240437,800.0
5,knn,Ponderosa Pine,0.5261875761266748,0.54,0.5330043183220234,800.0
5,knn,Cottonwood/Willow,0.7988505747126436,0.86875,0.8323353293413174,800.0
5,knn,Aspen,0.7425968109339408,0.815,0.7771156138259833,800.0
5,knn,Douglas-fir,0.6169296987087518,0.5375,0.5744822979291917,800.0
5,knn,Krummholz,0.8144208037825059,0.86125,0.8371810449574727,800.0
5,decision_tree,Spruce/Fir,0.4963235294117647,0.50625,0.5012376237623762,800.0
5,decision_tree,Lodgepole Pine,0.4325,0.4325,0.4325,800.0
5,decision_tree,Ponderosa Pine,0.4708171206225681,0.45375,0.4621260343730108,800.0
5,decision_tree,Cottonwood/Willow,0.7972292191435768,0.79125,0.794228356336261,800.0
5,decision_tree,Aspen,0.7211302211302212,0.73375,0.7273853779429987,800.0
5,decision_tree,Douglas-fir,0.5154130702836005,0.5225,0.5189323401613904,800.0
5,decision_tree,Krummholz,0.7972292191435768,0.79125,0.794228356336261,800.0
5,random_forest,Spruce/Fir,0.5443864229765013,0.52125,0.5325670498084292,800.0
5,random_forest,Lodgepole Pine,0.5006993006993007,0.4475,0.4726072607260726,800.0
5,random_forest,Ponderosa Pine,0.5124835742444153,0.4875,0.4996796925048046,800.0
5,random_forest,Cottonwood/Willow,0.8099762470308789,0.8525,0.830694275274056,800.0
5,random_forest,Aspen,0.7244094488188977,0.805,0.7625814091178212,800.0
5,random_forest,Douglas-fir,0.59846547314578,0.585,0.5916561314791403,800.0
5,random_forest,Krummholz,0.7893491124260354,0.83375,0.8109422492401216,800.0
5,gradient_boosting,Spruce/Fir,0.5862944162436549,0.5775,0.5818639798488665,800.0
5,gradient_boosting,Lodgepole Pine,0.5513833992094862,0.34875,0.42725880551301687,800.0
5,gradient_boosting,Ponderosa Pine,0.49940968122786306,0.52875,0.5136612021857924,800.0
5,gradient_boosting,Cottonwood/Willow,0.7759197324414716,0.87,0.8202710665880967,800.0
5,gradient_boosting,Aspen,0.6629778672032193,0.82375,0.7346711259754738,800.0
5,gradient_boosting,Douglas-fir,0.6228323699421965,0.53875,0.5777479892761395,800.0
5,gradient_boosting,Krummholz,0.8002283105022832,0.87625,0.8365155131264916,800.0
5,xgboost,Spruce/Fir,0.5699481865284974,0.55,0.5597964376590331,800.0
5,xgboost,Lodgepole Pine,0.5195007800312013,0.41625,0.4621790423317141,800.0
5,xgboost,Ponderosa Pine,0.5407503234152652,0.5225,0.5314685314685315,800.0
5,xgboost,Cottonwood/Willow,0.8091334894613583,0.86375,0.8355501813784765,800.0
5,xgboost,Aspen,0.7125813449023861,0.82125,0.7630662020905923,800.0
5,xgboost,Douglas-fir,0.5943517329910141,0.57875,0.5864471184293857,800.0
5,xgboost,Krummholz,0.7904540162980209,0.84875,0.8185654008438819,800.0
7,naive_bayes,Spruce/Fir,0.45098039215686275,0.08625,0.14480587618048268,800.0
7,naive_bayes,Lodgepole Pine,0.0,0.0,0.0,800.0
7,naive_bayes,Ponderosa Pine,0.7878787878787878,0.0325,0.062424969987995196,800.0
7,naive_bayes,Cottonwood/Willow,0.46647230320699706,1.0,0.6361829025844931,800.0
7,naive_bayes,Aspen,0.385,0.9625,0.55,800.0
7,naive_bayes,Douglas-fir,0.6184738955823293,0.1925,0.29361296472831266,800.0
7,naive_bayes,Krummholz,0.5331034482758621,0.96625,0.6871111111111111,800.0
7,knn,Spruce/Fir,0.57625,0.57625,0.57625,800.0
7,knn,Lodgepole Pine,0.584070796460177,0.495,0.5358592692828146,800.0
7,knn,Ponderosa Pine,0.5417170495767836,0.56,0.5507068223724647,800.0
7,knn,Cottonwood/Willow,0.7988505747126436,0.86875,0.8323353293413174,800.0
7,knn,Aspen,0.7525773195876289,0.82125,0.785415421398685,800.0
7,knn,Douglas-fir,0.6142857142857143,0.5375,0.5733333333333334,800.0
7,knn,Krummholz,0.8215962441314554,0.875,0.847457627118644,800.0
7,decision_tree,Spruce/Fir,0.504914004914005,0.51375,0.5092936802973977,800.0
7,decision_tree,Lodgepole Pine,0.48863636363636365,0.48375,0.4861809045226131,800.0
7,decision_tree,Ponderosa Pine,0.5121019108280255,0.5025,0.5072555205047319,800.0
7,decision_tree,Cottonwood/Willow,0.7925,0.7925,0.7925,800.0
7,decision_tree,Aspen,0.7251243781094527,0.72875,0.726932668329177,800.0
7,decision_tree,Douglas-fir,0.5295566502463054,0.5375,0.533498759305211,800.0
7,decision_tree,Krummholz,0.8045397225725095,0.7975,0.8010043942247332,800.0
7,random_forest,Spruce/Fir,0.5790816326530612,0.5675,0.5732323232323232,800.0
7,random_forest,Lodgepole Pine,0.5652173913043478,0.52,0.5416666666666666,800.0
7,random_forest,Ponderosa Pine,0.5340314136125655,0.51,0.5217391304347826,800.0
7,random_forest,Cottonwood/Willow,0.8066825775656324,0.845,0.8253968253968254,800.0
7,random_forest,Aspen,0.7361111111111112,0.795,0.7644230769230769,800.0
7,random_forest,Douglas-fir,0.5897435897435898,0.575,0.5822784810126582,800.0
7,random_forest,Krummholz,0.815347721822542,0.85,0.8323133414932681,800.0
7,gradient_boosting,Spruce/Fir,0.5947302383939774,0.5925,0.593613024420789,800.0
7,gradient_boosting,Lodgepole Pine,0.6103059581320451,0.47375,0.5334271639690359,800.0
7,gradient_boosting,Ponderosa Pine,0.5216867469879518,0.54125,0.5312883435582823,800.0
7,gradient_boosting,Cottonwood/Willow,0.7776536312849162,0.87,0.8212389380530973,800.0
7,gradient_boosting,Aspen,0.6989130434782609,0.80375,0.7476744186046511,800.0
7,gradient_boosting,Douglas-fir,0.6137339055793991,0.53625,0.5723815877251501,800.0
7,gradient_boosting,Krummholz,0.8221957040572793,0.86125,0.8412698412698413,800.0
7,xgboost,Spruce/Fir,0.5786082474226805,0.56125,0.5697969543147208,800.0
7,xgboost,Lodgepole Pine,0.5834522111269614,0.51125,0.5449700199866756,800.0
7,xgboost,Ponderosa Pine,0.5627425614489003,0.54375,0.5530832803560076,800.0
7,xgboost,Cottonwood/Willow,0.8058479532163743,0.86125,0.8326283987915408,800.0
7,xgboost,Aspen,0.7425968109339408,0.815,0.7771156138259833,800.0
7,xgboost,Douglas-fir,0.5917312661498708,0.5725,0.5819567979669632,800.0
7,xgboost,Krummholz,0.8030842230130486,0.84625,0.8241022519780888,800.0
10,naive_bayes,Spruce/Fir,0.4339622641509434,0.02875,0.053927315357561546,800.0
10,naive_bayes,Lodgepole Pine,0.0,0.0,0.0,800.0
10,naive_bayes,Ponderosa Pine,0.7941176470588235,0.03375,0.06474820143884892,800.0
10,naive_bayes,Cottonwood/Willow,0.47619047619047616,1.0,0.6451612903225806,800.0
10,naive_bayes,Aspen,0.29934337582078024,0.96875,0.4573620537031573,800.0
10,naive_bayes,Douglas-fir,0.5992366412213741,0.19625,0.295668549905838,800.0
10,naive_bayes,Krummholz,0.7515274949083504,0.9225,0.8282828282828283,800.0
10,knn,Spruce/Fir,0.6800518134715026,0.65625,0.6679389312977099,800.0
10,knn,Lodgepole Pine,0.662613981762918,0.545,0.598079561042524,800.0
10,knn,Ponderosa Pine,0.6476997578692494,0.66875,0.6580565805658056,800.0
10,knn,Cottonwood/Willow,0.8325471698113207,0.8825,0.8567961165048543,800.0
10,knn,Aspen,0.7865655471289275,0.9075,0.8427161926871736,800.0
10,knn,Douglas-fir,0.728629579375848,0.67125,0.6987638256343527,800.0
10,knn,Krummholz,0.8755980861244019,0.915,0.8948655256723717,800.0
10,decision_tree,Spruce/Fir,0.603359173126615,0.58375,0.5933926302414231,800.0
10,decision_tree,Lodgepole Pine,0.5629722921914357,0.55875,0.560853199498118,800.0
10,decision_tree,Ponderosa Pine,0.5728770595690748,0.565,0.5689112649465072,800.0
10,decision_tree,Cottonwood/Willow,0.815403422982885,0.83375,0.8244746600741656,800.0
10,decision_tree,Aspen,0.7944377267230955,0.82125,0.8076213890596189,800.0
10,decision_tree,Douglas-fir,0.6310432569974554,0.62,0.6254728877679697,800.0
10,decision_tree,Krummholz,0.8608374384236454,0.87375,0.8672456575682382,800.0
10,random_forest,Spruce/Fir,0.6860759493670886,0.6775,0.6817610062893081,800.0
10,random_forest,Lodgepole Pine,0.6771879483500718,0.59,0.6305945223780896,800.0
10,random_forest,Ponderosa Pine,0.6666666666666666,0.665,0.6658322903629537,800.0
10,random_forest,Cottonwood/Willow,0.8444180522565321,0.88875,0.8660170523751523,800.0
10,random_forest,Aspen,0.8112994350282486,0.8975,0.8522255192878339,800.0
10,random_forest,Douglas-fir,0.7391874180865007,0.705,0.7216890595009597,800.0
10,random_forest,Krummholz,0.8957575757575758,0.92375,0.9095384615384615,800.0
10,gradient_boosting,Spruce/Fir,0.6314496314496314,0.6425,0.6369268897149938,800.0
10,gradient_boosting,Lodgepole Pine,0.6232339089481946,0.49625,0.5525400139178844,800.0
10,gradient_boosting,Ponderosa Pine,0.5707133917396746,0.57,0.5703564727954972,800.0
10,gradient_boosting,Cottonwood/Willow,0.8025404157043879,0.86875,0.8343337334933973,800.0
10,gradient_boosting,Aspen,0.7337016574585635,0.83,0.7788856304985338,800.0
10,gradient_boosting,Douglas-fir,0.6431372549019608,0.615,0.6287539936102237,800.0
10,gradient_boosting,Krummholz,0.8746928746928747,0.89,0.8822800495662949,800.0
10,xgboost,Spruce/Fir,0.661498708010336,0.64,0.650571791613723,800.0
10,xgboost,Lodgepole Pine,0.6450704225352113,0.5725,0.6066225165562914,800.0
10,xgboost,Ponderosa Pine,0.6459948320413437,0.625,0.6353240152477764,800.0
10,xgboost,Cottonwood/Willow,0.8361244019138756,0.87375,0.8545232273838631,800.0
10,xgboost,Aspen,0.7934904601571269,0.88375,0.8361916026020106,800.0
10,xgboost,Douglas-fir,0.6976160602258469,0.695,0.6963055729492799,800.0
10,xgboost,Krummholz,0.8887530562347188,0.90875,0.8986402966625463,800.0
15,naive_bayes,Spruce/Fir,0.5333333333333333,0.01,0.0196319018404908,800.0
15,naive_bayes,Lodgepole Pine,0.0,0.0,0.0,800.0
15,naive_bayes,Ponderosa Pine,0.20674157303370785,0.115,0.14779116465863454,800.0
15,naive_bayes,Cottonwood/Willow,0.46484601975595585,1.0,0.6346687822292741,800.0
15,naive_bayes,Aspen,0.2715551974214343,0.42125,0.33023027927486526,800.0
15,naive_bayes,Douglas-fir,0.22676837725381416,0.40875,0.29170383586083853,800.0
15,naive_bayes,Krummholz,0.8926630434782609,0.82125,0.85546875,800.0
15,knn,Spruce/Fir,0.681360201511335,0.67625,0.6787954830614805,800.0
15,knn,Lodgepole Pine,0.6237037037037036,0.52625,0.5708474576271186,800.0
15,knn,Ponderosa Pine,0.6967654986522911,0.64625,0.6705577172503242,800.0
15,knn,Cottonwood/Willow,0.8649885583524027,0.945,0.9032258064516129,800.0
15,knn,Aspen,0.7614879649890591,0.87,0.8121353558926487,800.0
15,knn,Douglas-fir,0.7179161372299873,0.70625,0.7120352867044738,800.0
15,knn,Krummholz,0.9103194103194103,0.92625,0.9182156133828996,800.0
15,decision_tree,Spruce/Fir,0.6020151133501259,0.5975,0.5997490589711418,800.0
15,decision_tree,Lodgepole Pine,0.550185873605948,0.555,0.552582451773491,800.0
15,decision_tree,Ponderosa Pine,0.6364795918367347,0.62375,0.6300505050505051,800.0
15,decision_tree,Cottonwood/Willow,0.8871359223300971,0.91375,0.9002463054187192,800.0
15,decision_tree,Aspen,0.8198529411764706,0.83625,0.8279702970297029,800.0
15,decision_tree,Douglas-fir,0.6765463917525774,0.65625,0.666243654822335,800.0
15,decision_tree,Krummholz,0.8660826032540676,0.865,0.8655409631019387,800.0
15,random_forest,Spruce/Fir,0.7461139896373057,0.72,0.732824427480916,800.0
15,random_forest,Lodgepole Pine,0.7274011299435028,0.64375,0.6830238726790451,800.0
15,random_forest,Ponderosa Pine,0.7812080536912752,0.7275,0.7533980582524272,800.0
15,random_forest,Cottonwood/Willow,0.8932261768082663,0.9725,0.931178934769599,800.0
15,random_forest,Aspen,0.8468677494199536,0.9125,0.8784596871239471,800.0
15,random_forest,Douglas-fir,0.782983970406905,0.79375,0.7883302296710117,800.0
15,random_forest,Krummholz,0.910950661853189,0.94625,0.9282648681790313,800.0
15,gradient_boosting,Spruce/Fir,0.6557177615571776,0.67375,0.6646115906288532,800.0
15,gradient_boosting,Lodgepole Pine,0.6724409448818898,0.53375,0.5951219512195122,800.0
15,gradient_boosting,Ponderosa Pine,0.6675324675324675,0.6425,0.6547770700636942,800.0
15,gradient_boosting,Cottonwood/Willow,0.8985849056603774,0.9525,0.9247572815533981,800.0
15,gradient_boosting,Aspen,0.7607497243660419,0.8625,0.8084358523725835,800.0
15,gradient_boosting,Douglas-fir,0.6946182728410513,0.69375,0.6941838649155723,800.0
15,gradient_boosting,Krummholz,0.884004884004884,0.905,0.8943792464484249,800.0
15,xgboost,Spruce/Fir,0.7,0.70875,0.7043478260869566,800.0
15,xgboost,Lodgepole Pine,0.6945244956772334,0.6025,0.6452476572958501,800.0
15,xgboost,Ponderosa Pine,0.759020618556701,0.73625,0.7474619289340102,800.0
15,xgboost,Cottonwood/Willow,0.9171668667466987,0.955,0.9357011635027557,800.0
15,xgboost,Aspen,0.8342989571263036,0.9,0.8659049909801564,800.0
15,xgboost,Douglas-fir,0.7770859277708593,0.78,0.7785402370555209,800.0
15,xgboost,Krummholz,0.9147381242387332,0.93875,0.9265885256014805,800.0
20,naive_bayes,Spruce/Fir,0.7522123893805309,0.10625,0.18619934282584885,800.0
20,naive_bayes,Lodgepole Pine,0.0,0.0,0.0,800.0
20,naive_bayes,Ponderosa Pine,0.3929236499068901,0.26375,0.3156320119670905,800.0
20,naive_bayes,Cottonwood/Willow,0.46565774155995343,1.0,0.6354249404289118,800.0
20,naive_bayes,Aspen,0.29982668977469673,0.4325,0.3541453428863869,800.0
20,naive_bayes,Douglas-fir,0.2393617021276596,0.39375,0.29773156899810965,800.0
20,naive_bayes,Krummholz,0.8727034120734908,0.83125,0.8514724711907811,800.0
20,knn,Spruce/Fir,0.6527249683143219,0.64375,0.6482064191315292,800.0
20,knn,Lodgepole Pine,0.6067892503536068,0.53625,0.5693430656934306,800.0
20,knn,Ponderosa Pine,0.680998613037448,0.61375,0.6456278763971072,800.0
20,knn,Cottonwood/Willow,0.8428899082568807,0.91875,0.8791866028708134,800.0
20,knn,Aspen,0.7710176991150443,0.87125,0.818075117370892,800.0
20,knn,Douglas-fir,0.684931506849315,0.6875,0.6862133499688085,800.0
20,knn,Krummholz,0.9029850746268657,0.9075,0.9052369077306733,800.0
20,decision_tree,Spruce/Fir,0.618204804045512,0.61125,0.6147077309868008,800.0
20,decision_tree,Lodgepole Pine,0.5478374836173001,0.5225,0.5348688419705694,800.0
20,decision_tree,Ponderosa Pine,0.6437823834196891,0.62125,0.6323155216284987,800.0
20,decision_tree,Cottonwood/Willow,0.8860294117647058,0.90375,0.8948019801980198,800.0
20,decision_tree,Aspen,0.812577065351418,0.82375,0.8181253879577902,800.0
20,decision_tree,Douglas-fir,0.6523867809057528,0.66625,0.6592455163883735,800.0
20,decision_tree,Krummholz,0.8602409638554217,0.8925,0.8760736196319019,800.0
20,random_forest,Spruce/Fir,0.7305764411027569,0.72875,0.7296620775969962,800.0
20,random_forest,Lodgepole Pine,0.7264957264957265,0.6375,0.6790945406125166,800.0
20,random_forest,Ponderosa Pine,0.7889039242219216,0.72875,0.7576348278102664,800.0
20,random_forest,Cottonwood/Willow,0.8961937716262975,0.97125,0.9322135572885423,800.0
20,random_forest,Aspen,0.86,0.91375,0.8860606060606061,800.0
20,random_forest,Douglas-fir,0.7769607843137255,0.7925,0.7846534653465347,800.0
20,random_forest,Krummholz,0.9142512077294686,0.94625,0.9299754299754299,800.0
20,gradient_boosting,Spruce/Fir,0.6626065773447016,0.68,0.6711906230721777,800.0
20,gradient_boosting,Lodgepole Pine,0.6779141104294478,0.5525,0.6088154269972452,800.0
20,gradient_boosting,Ponderosa Pine,0.7058823529411765,0.66,0.6821705426356589,800.0
20,gradient_boosting,Cottonwood/Willow,0.8970414201183432,0.9475,0.921580547112462,800.0
20,gradient_boosting,Aspen,0.7829021372328459,0.87,0.8241563055062167,800.0
20,gradient_boosting,Douglas-fir,0.6924004825090471,0.7175,0.7047268262737876,800.0
20,gradient_boosting,Krummholz,0.8872549019607843,0.905,0.8960396039603961,800.0
20,xgboost,Spruce/Fir,0.7232947232947233,0.7025,0.7127457197209892,800.0
