max_depth,min_samples_leaf,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
2,0.001,0.4803571428571428,0.008337583949949105,0.2731532855595662,0.006583359838218749,0.48035714285714287,0.008337583949949094,0.34433913606000743,0.007588657825972766
3,0.001,0.5937499999999999,0.011932259908777219,0.5647144593616669,0.023122900033040218,0.5937499999999999,0.011932259908777203,0.5582723258804154,0.01503300684519516
4,0.001,0.62625,0.022389894996609164,0.6185175231840352,0.025071280087519802,0.62625,0.022389894996609167,0.6003122625938142,0.024656234565555178
5,0.001,0.6507142857142857,0.01821428571428571,0.6574384886605269,0.017781310741638773,0.6507142857142857,0.018214285714285704,0.6481989911888333,0.017910988071554664
7,0.001,0.6957142857142858,0.015303060918306096,0.7036411357553974,0.01817492139787488,0.6957142857142856,0.015303060918306115,0.6865582741741025,0.01655752643483099
10,0.001,0.7221428571428572,0.014816048937636798,0.7232866778000581,0.017453748913961415,0.7221428571428572,0.014816048937636822,0.7191552922658706,0.01653450943241936
25,0.001,0.7139285714285715,0.013214285714285741,0.7127945815173512,0.014672159663433552,0.7139285714285715,0.013214285714285706,0.7116121709435018,0.013778933669751118
30,0.001,0.7139285714285715,0.013214285714285741,0.7127945815173512,0.014672159663433552,0.7139285714285715,0.013214285714285706,0.7116121709435018,0.013778933669751118
40,0.001,0.7139285714285715,0.013214285714285741,0.7127945815173512,0.014672159663433552,0.7139285714285715,0.013214285714285706,0.7116121709435018,0.013778933669751118
50,0.001,0.7139285714285715,0.013214285714285741,0.7127945815173512,0.014672159663433552,0.7139285714285715,0.013214285714285706,0.7116121709435018,0.013778933669751118
2,0.005,0.4803571428571428,0.008337583949949105,0.2731532855595662,0.006583359838218749,0.48035714285714287,0.008337583949949094,0.34433913606000743,0.007588657825972766
3,0.005,0.5937499999999999,0.011932259908777219,0.5647144593616669,0.023122900033040218,0.5937499999999999,0.011932259908777203,0.5582723258804154,0.01503300684519516
4,0.005,0.6255357142857143,0.023021867377583008,0.6176837233691923,0.026980263664626407,0.6255357142857144,0.023021867377583008,0.5985214196704728,0.025003158472671476
5,0.005,0.6489285714285715,0.01764517046719375,0.6566568368997763,0.01751208093605191,0.6489285714285715,0.01764517046719374,0.6465328808247007,0.016609060710151786
7,0.005,0.6853571428571429,0.019897697538834466,0.6915367213024164,0.021771769160566244,0.6853571428571429,0.019897697538834438,0.6787471453354899,0.019034397009109146
10,0.005,0.6942857142857143,0.011893447003819073,0.6904833415001932,0.012196111096224108,0.6942857142857143,0.011893447003819058,0.6891563839844947,0.012422646434115258
25,0.005,0.6926785714285715,0.010487176328590002,0.6885217038219518,0.012203635559398443,0.6926785714285714,0.010487176328590015,0.6874607567612027,0.011343893340213015
30,0.005,0.6926785714285715,0.010487176328590002,0.6885217038219518,0.012203635559398443,0.6926785714285714,0.010487176328590015,0.6874607567612027,0.011343893340213015
40,0.005,0.6926785714285715,0.010487176328590002,0.6885217038219518,0.012203635559398443,0.6926785714285714,0.010487176328590015,0.6874607567612027,0.011343893340213015
50,0.005,0.6926785714285715,0.010487176328590002,0.6885217038219518,0.012203635559398443,0.6926785714285714,0.010487176328590015,0.6874607567612027,0.011343893340213015
2,0.01,0.4803571428571428,0.008337583949949105,0.2731532855595662,0.006583359838218749,0.48035714285714287,0.008337583949949094,0.34433913606000743,0.007588657825972766
3,0.01,0.5937499999999999,0.011932259908777219,0.5647144593616669,0.023122900033040218,0.5937499999999999,0.011932259908777203,0.5582723258804154,0.01503300684519516
4,0.01,0.6248214285714285,0.023068912954405964,0.6160599537544695,0.025725181234565804,0.6248214285714285,0.02306891295440597,0.5995353129580128,0.025160485824458227
5,0.01,0.6503571428571429,0.02041970336988971,0.6571630407867624,0.021372743929379785,0.6503571428571429,0.02041970336988973,0.6488603368993079,0.02044618560174983
7,0.01,0.6814285714285714,0.02436960301318854,0.6806789087240844,0.026360717899946203,0.6814285714285714,0.024369603013188548,0.6758604132768473,0.02675613289479951
10,0.01,0.6835714285714285,0.02293513479714618,0.6835413314003221,0.023286720199660556,0.6835714285714285,0.02293513479714617,0.6799891268808215,0.0243960329157024
25,0.01,0.6835714285714285,0.02293513479714618,0.6835413314003221,0.023286720199660556,0.6835714285714285,0.02293513479714617,0.6799891268808215,0.0243960329157024
30,0.01,0.6835714285714285,0.02293513479714618,0.6835413314003221,0.023286720199660556,0.6835714285714285,0.02293513479714617,0.6799891268808215,0.0243960329157024
40,0.01,0.6835714285714285,0.02293513479714618,0.6835413314003221,0.023286720199660556,0.6835714285714285,0.02293513479714617,0.6799891268808215,0.0243960329157024
50,0.01,0.6835714285714285,0.02293513479714618,0.6835413314003221,0.023286720199660556,0.6835714285714285,0.02293513479714617,0.6799891268808215,0.0243960329157024
2,0.05,0.4803571428571428,0.008337583949949105,0.2731532855595662,0.006583359838218749,0.48035714285714287,0.008337583949949094,0.34433913606000743,0.007588657825972766
3,0.05,0.5939285714285714,0.016292135325652927,0.5793329960298553,0.02184533236111287,0.5939285714285714,0.01629213532565291,0.5645396970555803,0.020361418467842035
4,0.05,0.6026785714285714,0.014089048069695978,0.5855524903884651,0.017273399172298268,0.6026785714285714,0.014089048069695978,0.5756636451401315,0.016302967169178197
5,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
7,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
10,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
25,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
30,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
40,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
50,0.05,0.6067857142857143,0.015419309389230636,0.6064587162346621,0.016540872947894896,0.6067857142857144,0.01541930938923063,0.5896837063814031,0.016807178537596452
