model,best_preprocessing,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
naive_bayes,raw,0.5996428571428571,0.014101490730285465,0.6526269871344004,0.026447078138901823,0.5996428571428571,0.014101490730285432,0.5527634311494272,0.01623091220171736
knn,raw,0.7942857142857143,0.019785198549235047,0.7885294205166767,0.020675602394739766,0.7942857142857143,0.019785198549235047,0.7885193676670761,0.020525330210706478
decision_tree,raw,0.7380357142857144,0.01195361997941397,0.7374449395886741,0.012180749729852771,0.7380357142857144,0.011953619979413957,0.7365350198330193,0.01188785521710129
random_forest,scaled_feature_selection,0.8271428571428572,0.009168212609281043,0.8247969742896555,0.009711791392019407,0.8271428571428572,0.00916821260928101,0.8240235181404737,0.009659185822323118
gradient_boosting,raw,0.8303571428571429,0.011845088536983576,0.8290418071193197,0.012845663693213478,0.8303571428571429,0.011845088536983567,0.8284707846858884,0.012073772713501895
xgboost,raw,0.8305357142857144,0.013979987518607039,0.8286903347363499,0.014859404074163982,0.8305357142857142,0.013979987518607026,0.8280788924100617,0.014243020868110856
