class,precision,recall,f1_score,support
Spruce/Fir,0.7679558011049724,0.695,0.7296587926509186,200.0
Lodgepole Pine,0.68,0.595,0.6346666666666667,200.0
Ponderosa Pine,0.8571428571428571,0.78,0.8167539267015707,200.0
Cottonwood/Willow,0.9248826291079812,0.985,0.9539951573849879,200.0
Aspen,0.7857142857142857,0.935,0.8538812785388128,200.0
Douglas-fir,0.8260869565217391,0.855,0.8402948402948403,200.0
Krummholz,0.9264705882352942,0.945,0.9356435643564357,200.0
