model,best_preprocessing,best_params,best_score
naive_bayes,scaled_feature_selection,{},0.8423552647190695
knn,scaled_pca,"{'metric': 'chebyshev', 'n_neighbors': 50}",0.8859214278918441
decision_tree,raw,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 0.01}",0.8438967837791023
random_forest,raw,"{'max_depth': 25, 'max_features': 'sqrt', 'n_estimators': 100}",0.8948949646736246
gradient_boosting,scaled,"{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50}",0.8997211508071958
xgboost,scaled_pca,"{'max_depth': 5, 'n_estimators': 100}",0.8879707679218087
