n_estimators,max_depth,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,5,0.7944444444444445,0.04036867138796657,0.816579811370274,0.03741005145508236,0.9405555555555555,0.03407055134769324,0.3533333333333334,0.1661324772583615,0.8732664157930611,0.023093201809278742,0.7835092592592592,0.1064154581947489
10,5,0.8227777777777778,0.052730973398521244,0.8405031192910636,0.04720012868179251,0.9473611111111111,0.03360106599205551,0.44666666666666666,0.1910206504252587,0.8898108512693126,0.03123423591763204,0.797712962962963,0.10860764613525045
25,5,0.8127777777777776,0.05134307266916453,0.8350430397126868,0.0544236842523649,0.9429166666666667,0.040361264051098154,0.42000000000000004,0.22715633383201092,0.8839381051129539,0.02941521982756725,0.7905648148148149,0.10106618227472768
50,5,0.8177777777777779,0.049553562491061666,0.8374495413864598,0.05535977949202784,0.9473611111111111,0.03903963837175659,0.42666666666666664,0.22548712700383683,0.8872012633746046,0.028475926844925097,0.7982407407407408,0.09182605857976021
75,5,0.8245238095238095,0.04671826593402292,0.8412788656336702,0.05302831338850446,0.9519444444444444,0.04492878452631837,0.43999999999999995,0.21949436844205772,0.8912356478608461,0.027375446132407014,0.7978796296296297,0.08752956045843394
100,5,0.8196031746031747,0.046443221131997774,0.83931389218479,0.0536877575928354,0.9476388888888888,0.04996159790711361,0.4333333333333333,0.22360679774997896,0.8879707679218087,0.027541102756015633,0.7998611111111111,0.08477814638772349
150,5,0.812936507936508,0.04872272576577446,0.8372354482667232,0.050460874316141144,0.93875,0.0507218343054413,0.4333333333333333,0.2092313976863362,0.8831824498450187,0.029603125941240222,0.7985648148148148,0.08748532357809387
200,5,0.8114285714285716,0.05048292857092885,0.8363784102824473,0.046984901250348356,0.9368055555555556,0.05722913253851669,0.4333333333333333,0.19607254893136988,0.8818527886958087,0.03209733683840224,0.7973981481481482,0.08756134876569707
250,5,0.8130952380952381,0.05198170356643704,0.8383590866109498,0.04960312150053233,0.9368055555555556,0.05722913253851669,0.43999999999999995,0.20483055327649619,0.8828540096970297,0.03282986822113515,0.7966296296296296,0.08468750756103205
300,5,0.8164285714285715,0.05210370349953395,0.8401671283246518,0.04857045699322234,0.9390277777777778,0.05833482140959109,0.4466666666666666,0.20011108026404842,0.8848790231388326,0.03313520688923758,0.7958611111111111,0.0841663106580907
5,10,0.807936507936508,0.0489380807968458,0.8288630941274583,0.04652356108454103,0.9430555555555555,0.03716932393756051,0.4,0.19321835661585918,0.8810951705292215,0.028491407602289385,0.7670185185185185,0.09528969799096793
10,10,0.8096031746031747,0.05631392814749615,0.833077373275583,0.05627824336807215,0.9408333333333333,0.042017963530605086,0.4133333333333334,0.22666666666666668,0.8819650372257678,0.03270632361520636,0.7825462962962962,0.10497925239200666
25,10,0.8064285714285715,0.06323703742660887,0.832377044042009,0.05843960596586358,0.9366666666666668,0.04970282054743343,0.4133333333333333,0.23247461032216923,0.8796668526192363,0.03822014330905962,0.7858425925925926,0.09992614256421621
50,10,0.8063492063492065,0.0605779671024171,0.8319799651126601,0.0555601717089829,0.9365277777777777,0.049433714503662685,0.4133333333333334,0.22070593809662464,0.8794942678478375,0.036554592703526886,0.7869907407407408,0.0999002867918676
