k,model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
1,naive_bayes,0.7694444444444445,0.039145975622117385,0.783473973395026,0.03155695002239011,0.9601388888888888,0.02189031650730804,0.19333333333333333,0.1412641340027806,0.8624636364267324,0.021936130590401916,0.6494537037037038,0.12816593251942338
1,knn,0.7044444444444444,0.03121015978930699,0.7599132132385118,0.01858307228127408,0.8870833333333333,0.03830942289719397,0.15333333333333335,0.07916228058025278,0.8181796660877421,0.021597362230172876,0.6056944444444444,0.0890024857662142
1,decision_tree,0.6911904761904762,0.04772666411053868,0.7885479930557656,0.029717240068122725,0.8054166666666667,0.05766967049551894,0.3466666666666667,0.11075498483890768,0.7958715345305352,0.036136573744288795,0.5757870370370369,0.05868625237158293
1,random_forest,0.6928571428571428,0.049988660845755095,0.7876196433449655,0.02991428846928259,0.8098611111111111,0.06205225421438304,0.34,0.10934146311237818,0.7974893677103188,0.038252280278318396,0.6122962962962963,0.09558208072844303
1,gradient_boosting,0.7495238095238095,0.022049213148171872,0.7752023626240614,0.019021497488940844,0.9404166666666667,0.03297521749944649,0.17333333333333334,0.10413666234542206,0.8493119266971483,0.013902011989773895,0.628,0.09502164939946763
1,xgboost,0.7128571428571429,0.048259972475237264,0.7651980213342443,0.02886596840238,0.8916666666666666,0.04181455237263047,0.17333333333333334,0.1083205120618128,0.8232963687966823,0.0308499659670846,0.6107685185185184,0.10660800896483255
2,naive_bayes,0.7815079365079365,0.06579460814590599,0.8123127537573914,0.04697147098876379,0.9256944444444445,0.05725609164852415,0.3466666666666667,0.18571184369578828,0.8642012410054942,0.0418364579397766,0.6899166666666666,0.1605040524104985
2,knn,0.7613492063492063,0.04677970598360279,0.7982403316254592,0.0308982738193486,0.9143055555555556,0.034683589619427954,0.30000000000000004,0.12018504251546631,0.8520369587970252,0.028588810206775606,0.6169027777777778,0.11416875138900434
2,decision_tree,0.6937301587301588,0.07840566930772185,0.7885520094562647,0.05187857796710393,0.8108333333333333,0.063494556002663,0.33999999999999997,0.18,0.7988110557731298,0.052843382663102685,0.5754166666666667,0.10842953349788009
2,random_forest,0.7446825396825396,0.06155379754687296,0.802116998915816,0.04306174259945585,0.8787499999999999,0.053221997505904645,0.33999999999999997,0.16983652270475993,0.8378406377911631,0.03980122835807499,0.6630787037037037,0.11352998486362285
2,gradient_boosting,0.7527777777777778,0.05927806414592915,0.7951323161743329,0.03801264365488594,0.9052777777777777,0.049166666666666664,0.2933333333333334,0.14666666666666667,0.8460578394305104,0.037233852633142335,0.6793935185185184,0.1252893674835334
2,xgboost,0.7131746031746031,0.07813104096069898,0.7882914832599707,0.05303892151068661,0.8481944444444445,0.0619389945285672,0.3066666666666667,0.19595917942265423,0.8161471787192445,0.050091199974442745,0.6599907407407407,0.10580568520293226
3,naive_bayes,0.7719047619047619,0.0652902120641618,0.8148195561075827,0.05047152688035614,0.9090277777777779,0.09517132456007174,0.36,0.22350739485653615,0.8552662579640943,0.050137861762014256,0.7753981481481482,0.09203754051952606
3,knn,0.8027777777777778,0.04425306015783916,0.8329538224803112,0.036997878437992654,0.925,0.03728849821011074,0.4333333333333333,0.14681810363696826,0.8758440916771741,0.02712916165443696,0.7020092592592594,0.07676472135773252
3,decision_tree,0.6838095238095239,0.05579562641854326,0.7856610514626633,0.02129837952075258,0.7955555555555557,0.07423685817106697,0.34666666666666673,0.07180219742846006,0.7892560873498027,0.044715786756666404,0.571111111111111,0.04898979485566354
3,random_forest,0.7798412698412698,0.0602131512442792,0.8222109840216401,0.03859760158231684,0.9033333333333333,0.051171461954086464,0.40666666666666673,0.1443760521847181,0.860286350043258,0.038583814754778144,0.7281157407407408,0.0847688043616355
3,gradient_boosting,0.7763492063492063,0.05613058416954084,0.814414011349361,0.03741921758396701,0.9119444444444446,0.05736027037317685,0.3666666666666667,0.15275252316519466,0.8593208298427639,0.036219949465501125,0.7431666666666666,0.10122847787312761
3,xgboost,0.7649206349206349,0.04982433237635815,0.825499874963841,0.04047671056837891,0.8747222222222222,0.053090448095795405,0.4333333333333334,0.161245154965971,0.8480639731634858,0.032892017229161484,0.7244074074074074,0.06696239962070477
4,naive_bayes,0.7912698412698412,0.06049368575834071,0.8237697550235898,0.05238276970522351,0.9256944444444445,0.06754413851806941,0.38666666666666666,0.2227105745132009,0.8693227312870171,0.03887699823057496,0.8025555555555556,0.10690077832287127
4,knn,0.7910317460317461,0.04289834879752418,0.8196742467428543,0.029490181869028978,0.9273611111111112,0.05311315227365482,0.38,0.12666666666666665,0.8691802671498982,0.028380578117706497,0.7200601851851852,0.11170857125179773
4,decision_tree,0.7101587301587301,0.04580513459485972,0.801853686949779,0.0291280834091367,0.8173611111111112,0.05839695604488852,0.38666666666666666,0.11469767022723501,0.8083493210280039,0.03297159735943089,0.602013888888889,0.05815651939771492
4,random_forest,0.7862698412698412,0.059324587242976325,0.8267315548442109,0.03088982753657189,0.9052777777777778,0.060838406688497854,0.42666666666666664,0.1083205120618128,0.8635494292897995,0.03969176676462568,0.7523796296296296,0.11045744491200374
4,gradient_boosting,0.7814285714285714,0.05323758411885152,0.8192414119845941,0.03889438278425989,0.9123611111111112,0.05099492379724105,0.3866666666666667,0.1484737163421339,0.862339606040955,0.033893433803010894,0.7654537037037036,0.11793515610687663
4,xgboost,0.7797619047619049,0.05932586133491239,0.8239014178502824,0.0316645638368892,0.8988888888888888,0.053159438728469705,0.42000000000000004,0.10770329614269007,0.8594124221335232,0.03867831460721848,0.7448888888888889,0.09795449798895843
5,naive_bayes,0.7753174603174602,0.09106356953329431,0.8390957293289416,0.06101507904107871,0.8759722222222223,0.127614705725022,0.47333333333333333,0.24120070020167392,0.8503715067856156,0.07199125845599318,0.8011944444444443,0.10568841906220527
5,knn,0.7746825396825398,0.06697533418555536,0.8136049946901771,0.04196172095681455,0.9101388888888889,0.0650440555828637,0.36666666666666664,0.161245154965971,0.8580574714549829,0.043711259396841506,0.7069583333333334,0.13229426992675336
5,decision_tree,0.6965079365079364,0.0678171700700598,0.7977952428391836,0.054968979883384755,0.8036111111111112,0.07298792814103568,0.37333333333333335,0.19367785395111936,0.7983343492821897,0.04634725509688037,0.5884722222222223,0.09859360173190314
5,random_forest,0.7928571428571428,0.052543039263604555,0.8280243447161159,0.03698602296989786,0.9162500000000001,0.05208629621202126,0.42000000000000004,0.13999999999999999,0.8689628263776772,0.03319089837974778,0.7354305555555555,0.136788425715177
