max_depth,min_samples_leaf,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
2,0.001,0.7765079365079365,0.06609848580832003,0.7967505553413179,0.04828029106764742,0.9477777777777778,0.05753152651555384,0.26,0.20537229067665816,0.8644463170769271,0.040723819497461955,0.7140555555555557,0.09066498916688294
3,0.001,0.7453968253968254,0.06862376750342643,0.804386948304951,0.054287363123784495,0.8825,0.09917911530952596,0.33333333333333337,0.24404006956964167,0.8371847020010245,0.052470918822920834,0.6875555555555556,0.1023058165977838
4,0.001,0.7611904761904762,0.061464090875243425,0.8103850216094861,0.06033877760619167,0.89875,0.034763586472693606,0.3466666666666667,0.24549270186029293,0.8506721533698022,0.03477783219381711,0.6921064814814815,0.10205095280940435
5,0.001,0.7545238095238095,0.06141241943427222,0.8177165964538767,0.0561598851967842,0.8723611111111111,0.04348109600592586,0.39999999999999997,0.2170509412813294,0.8427628750422811,0.03750567329231478,0.6789305555555557,0.13387592217639527
7,0.001,0.7376984126984126,0.08650811853774354,0.8112022111930305,0.06146560342470126,0.8520833333333334,0.07825560071464455,0.3933333333333333,0.21999999999999997,0.8292963886774638,0.05880122548864965,0.6584398148148148,0.12926902563457213
10,0.001,0.7276984126984127,0.07244814654647594,0.8194494884910485,0.06151779892383975,0.8233333333333335,0.06372200426195408,0.44000000000000006,0.21333333333333335,0.8193908848264752,0.04752640433305656,0.6540370370370371,0.11722868158436416
25,0.001,0.7243650793650793,0.07731645663841677,0.8232012421782006,0.06770590283729254,0.8144444444444445,0.07982233358071915,0.4533333333333334,0.23247461032216923,0.8152482051790543,0.05326984063044965,0.633888888888889,0.11728539635236293
30,0.001,0.7243650793650793,0.07731645663841677,0.8232012421782006,0.06770590283729254,0.8144444444444445,0.07982233358071915,0.4533333333333334,0.23247461032216923,0.8152482051790543,0.05326984063044965,0.633888888888889,0.11728539635236293
40,0.001,0.7243650793650793,0.07731645663841677,0.8232012421782006,0.06770590283729254,0.8144444444444445,0.07982233358071915,0.4533333333333334,0.23247461032216923,0.8152482051790543,0.05326984063044965,0.633888888888889,0.11728539635236293
50,0.001,0.7243650793650793,0.07731645663841677,0.8232012421782006,0.06770590283729254,0.8144444444444445,0.07982233358071915,0.4533333333333334,0.23247461032216923,0.8152482051790543,0.05326984063044965,0.633888888888889,0.11728539635236293
2,0.005,0.7765079365079365,0.06609848580832003,0.7967505553413179,0.04828029106764742,0.9477777777777778,0.05753152651555384,0.26,0.20537229067665816,0.8644463170769271,0.040723819497461955,0.7190185185185186,0.08989843568159159
3,0.005,0.7453968253968254,0.06862376750342643,0.804386948304951,0.054287363123784495,0.8825,0.09917911530952596,0.33333333333333337,0.24404006956964167,0.8371847020010245,0.052470918822920834,0.6925185185185185,0.10820670662220848
4,0.005,0.7595238095238095,0.06241547572499407,0.8099473111717757,0.060691162024981565,0.8965277777777778,0.033154904391133236,0.3466666666666667,0.24549270186029293,0.849500436198085,0.035310952875856616,0.694699074074074,0.10833844806302012
