model,best_preprocessing,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
naive_bayes,scaled_feature_selection,0.7702380952380953,0.10096613787667835,0.8627979112050023,0.06806059845264975,0.8290277777777778,0.1030560235089705,0.5933333333333333,0.22,0.8423552647190695,0.07295342002296791,0.7783425925925926,0.11021604337582223
knn,scaled_pca,0.8146031746031746,0.05744760010104525,0.8297463509678009,0.050944348593883304,0.953888888888889,0.04661703710177372,0.3933333333333333,0.22,0.8859214278918441,0.03312332132557502,0.7601435185185185,0.12961589948781088
decision_tree,raw,0.7626984126984127,0.08882792694128529,0.8296625187538622,0.0636651932135981,0.8658333333333331,0.10046228025028307,0.4533333333333333,0.2305548862105411,0.8438967837791023,0.06537355774493109,0.662949074074074,0.14421528006283116
random_forest,raw,0.8295238095238094,0.05318857906835505,0.8400656232582747,0.05086850400057017,0.9606944444444444,0.04198053083437371,0.4333333333333333,0.2092313976863362,0.8948949646736246,0.031225746098225045,0.822875,0.09885785173655003
gradient_boosting,scaled,0.837936507936508,0.051820960455734505,0.8465497310035126,0.04825488890797846,0.9629166666666666,0.04105124206779427,0.4600000000000001,0.19652537297311565,0.8997211508071958,0.03057284033309443,0.8223888888888888,0.08154124281512633
xgboost,scaled_pca,0.8196031746031747,0.046443221131997774,0.83931389218479,0.0536877575928354,0.9476388888888888,0.04996159790711361,0.4333333333333333,0.22360679774997896,0.8879707679218087,0.027541102756015633,0.7998611111111111,0.08477814638772349
